NAME,TEAM,OVERALLATTRIBUTE,CLOSESHOT,MIDRANGESHOT,THREEPOINTSHOT,FREETHROW,SHOTIQ,OFFENSIVECONSISTENCY,LAYUP,STANDINGDUNK,DRIVINGDUNK,POSTHOOK,POSTFADE,POSTCONTROL,DRAWFOUL,HANDS,INTERIORDEFENSE,PERIMETERDEFENSE,STEAL,BLOCK,LATERALQUICKNESS,HELPDEFENSEIQ,PASSPERCEPTION,DEFENSIVECONSISTENCY,SPEED,ACCELERATION,STRENGTH,VERTICAL,STAMINA,HUSTLE,OVERALLDURABILITY,PASSACCURACY,BALLHANDLE,SPEEDWITHBALL,PASSIQ,PASSVISION,OFFENSIVEREBOUND,DEFENSIVEREBOUND
Dillon Brooks,Houston Rockets,78,82.0,68.0,75.0,79.0,75.0,65.0,74.0,35.0,75.0,55.0,59.0,64.0,78.0,85.0,67.0,87.0,42.0,40.0,87.0,87.0,86.0,85.0,75.0,75.0,65.0,75.0,88.0,95.0,85.0,59.0,74.0,69.0,58.0,43.0,36.0,47.0
Jae’Sean Tate,Houston Rockets,77,96.0,70.0,70.0,73.0,98.0,90.0,84.0,65.0,75.0,69.0,68.0,69.0,64.0,85.0,70.0,70.0,63.0,50.0,70.0,68.0,69.0,65.0,69.0,69.0,65.0,75.0,89.0,95.0,80.0,70.0,74.0,62.0,72.0,67.0,57.0,56.0
Amen Thompson,Houston Rockets,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Kaminsky,Houston Rockets,75,94.0,68.0,78.0,83.0,70.0,80.0,78.0,50.0,65.0,79.0,79.0,78.0,68.0,90.0,65.0,40.0,33.0,43.0,42.0,63.0,50.0,40.0,47.0,53.0,66.0,67.0,89.0,85.0,82.0,40.0,54.0,38.0,50.0,61.0,52.0,77.0
Jeff Green,Houston Rockets,75,88.0,60.0,70.0,73.0,85.0,60.0,79.0,65.0,80.0,70.0,68.0,72.0,68.0,85.0,69.0,70.0,36.0,53.0,75.0,68.0,54.0,60.0,63.0,57.0,70.0,84.0,89.0,85.0,82.0,69.0,74.0,50.0,70.0,35.0,45.0,52.0
Cam Whitmore,Houston Rockets,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jock Landale,Houston Rockets,74,97.0,64.0,62.0,77.0,85.0,70.0,69.0,65.0,60.0,60.0,60.0,60.0,66.0,80.0,65.0,48.0,36.0,70.0,48.0,62.0,60.0,45.0,54.0,54.0,64.0,75.0,80.0,75.0,80.0,58.0,52.0,45.0,64.0,38.0,86.0,72.0
Boban Marjanovic,Houston Rockets,73,83.0,70.0,63.0,77.0,75.0,55.0,50.0,95.0,60.0,69.0,60.0,76.0,70.0,40.0,73.0,30.0,25.0,61.0,35.0,65.0,73.0,65.0,25.0,25.0,71.0,40.0,70.0,45.0,65.0,60.0,35.0,25.0,35.0,29.0,59.0,88.0
Aaron Holiday,Houston Rockets,73,69.0,79.0,85.0,79.0,85.0,75.0,70.0,25.0,60.0,25.0,45.0,32.0,47.0,80.0,34.0,68.0,53.0,51.0,75.0,67.0,69.0,45.0,76.0,77.0,49.0,56.0,85.0,85.0,84.0,82.0,86.0,76.0,82.0,43.0,40.0,41.0
Willie Cauley-Stein,Houston Rockets,73,69.0,37.0,49.0,63.0,85.0,70.0,75.0,85.0,70.0,79.0,55.0,65.0,73.0,84.0,76.0,51.0,40.0,72.0,65.0,78.0,62.0,65.0,70.0,64.0,77.0,75.0,85.0,88.0,84.0,68.0,35.0,32.0,75.0,33.0,58.0,70.0
D.J. Augustin,Houston Rockets,70,53.0,78.0,81.0,90.0,95.0,65.0,70.0,25.0,25.0,25.0,59.0,32.0,40.0,80.0,25.0,60.0,36.0,27.0,70.0,54.0,60.0,50.0,82.0,82.0,28.0,68.0,85.0,82.0,84.0,82.0,81.0,81.0,84.0,64.0,32.0,42.0
Trevor Hudgins,Houston Rockets,68,69.0,77.0,80.0,88.0,60.0,45.0,68.0,68.0,85.0,25.0,42.0,33.0,58.0,84.0,38.0,54.0,40.0,35.0,63.0,50.0,55.0,40.0,75.0,75.0,42.0,70.0,85.0,75.0,80.0,70.0,74.0,75.0,70.0,61.0,32.0,57.0
Darius Days,Houston Rockets,67,65.0,69.0,73.0,71.0,65.0,40.0,70.0,50.0,70.0,41.0,37.0,41.0,40.0,70.0,64.0,65.0,42.0,47.0,68.0,50.0,50.0,50.0,70.0,70.0,66.0,78.0,85.0,80.0,80.0,49.0,50.0,60.0,52.0,35.0,49.0,60.0
Tyrese Haliburton,Indiana Pacers,88,85.0,93.0,85.0,86.0,98.0,98.0,92.0,40.0,65.0,42.0,49.0,40.0,85.0,95.0,60.0,74.0,76.0,50.0,74.0,74.0,73.0,65.0,83.0,83.0,59.0,70.0,95.0,90.0,80.0,98.0,89.0,83.0,98.0,97.0,36.0,50.0
Myles Turner,Indiana Pacers,83,98.0,81.0,81.0,79.0,85.0,85.0,79.0,80.0,65.0,76.0,80.0,80.0,60.0,95.0,87.0,70.0,37.0,91.0,66.0,90.0,70.0,85.0,56.0,32.0,74.0,69.0,95.0,80.0,83.0,31.0,35.0,32.0,68.0,34.0,52.0,82.0
Buddy Hield,Indiana Pacers,80,74.0,81.0,91.0,82.0,80.0,85.0,75.0,25.0,65.0,28.0,45.0,48.0,59.0,94.0,48.0,69.0,53.0,45.0,74.0,54.0,60.0,50.0,75.0,78.0,41.0,78.0,90.0,60.0,82.0,70.0,79.0,74.0,70.0,48.0,40.0,62.0
Bruce Brown Jr.,Indiana Pacers,80,80.0,69.0,80.0,75.0,95.0,85.0,80.0,30.0,70.0,28.0,34.0,42.0,65.0,95.0,58.0,77.0,56.0,58.0,77.0,79.0,75.0,65.0,78.0,78.0,75.0,80.0,92.0,80.0,84.0,79.0,79.0,76.0,80.0,61.0,40.0,58.0
Bennedict Mathurin,Indiana Pacers,79,77.0,80.0,75.0,80.0,90.0,90.0,84.0,35.0,80.0,55.0,58.0,55.0,84.0,90.0,42.0,69.0,37.0,32.0,78.0,65.0,62.0,50.0,84.0,84.0,54.0,82.0,92.0,85.0,80.0,75.0,79.0,81.0,82.0,34.0,46.0,54.0
Obi Toppin,Indiana Pacers,78,75.0,75.0,78.0,78.0,85.0,60.0,79.0,85.0,90.0,67.0,67.0,69.0,40.0,90.0,66.0,48.0,37.0,51.0,47.0,62.0,47.0,40.0,70.0,69.0,74.0,90.0,88.0,70.0,88.0,55.0,60.0,56.0,59.0,38.0,41.0,69.0
T.J. McConnell,Indiana Pacers,78,95.0,85.0,79.0,85.0,90.0,80.0,76.0,25.0,25.0,44.0,58.0,38.0,40.0,79.0,49.0,82.0,80.0,37.0,84.0,70.0,87.0,80.0,76.0,76.0,44.0,65.0,85.0,92.0,83.0,88.0,79.0,73.0,86.0,83.0,41.0,60.0
Andrew Nembhard,Indiana Pacers,77,81.0,84.0,78.0,80.0,85.0,85.0,80.0,39.0,60.0,44.0,52.0,47.0,54.0,75.0,42.0,73.0,46.0,40.0,75.0,68.0,65.0,70.0,76.0,76.0,46.0,71.0,85.0,69.0,80.0,80.0,79.0,74.0,80.0,70.0,34.0,47.0
Jordan Nwora,Indiana Pacers,76,86.0,69.0,84.0,78.0,97.0,85.0,74.0,60.0,65.0,49.0,47.0,50.0,62.0,60.0,52.0,52.0,40.0,50.0,65.0,54.0,50.0,50.0,59.0,57.0,60.0,72.0,82.0,80.0,78.0,52.0,64.0,43.0,54.0,42.0,50.0,65.0
Isaiah Jackson,Indiana Pacers,76,72.0,69.0,59.0,65.0,65.0,60.0,79.0,85.0,80.0,59.0,48.0,55.0,56.0,80.0,70.0,54.0,42.0,89.0,64.0,66.0,49.0,55.0,73.0,73.0,65.0,81.0,82.0,80.0,80.0,40.0,59.0,54.0,44.0,34.0,78.0,70.0
Aaron Nesmith,Indiana Pacers,76,70.0,70.0,79.0,85.0,95.0,85.0,70.0,35.0,55.0,53.0,57.0,57.0,64.0,85.0,55.0,67.0,43.0,56.0,68.0,72.0,52.0,45.0,68.0,68.0,52.0,74.0,87.0,80.0,81.0,69.0,70.0,64.0,65.0,33.0,43.0,58.0
Jalen Smith,Indiana Pacers,76,82.0,60.0,69.0,77.0,60.0,50.0,60.0,85.0,80.0,68.0,66.0,67.0,47.0,80.0,70.0,48.0,33.0,80.0,62.0,73.0,44.0,55.0,69.0,68.0,65.0,86.0,82.0,75.0,80.0,29.0,38.0,49.0,40.0,34.0,79.0,83.0
Daniel Theis,Indiana Pacers,75,86.0,80.0,73.0,75.0,65.0,30.0,70.0,79.0,78.0,74.0,54.0,73.0,35.0,85.0,84.0,53.0,37.0,68.0,54.0,83.0,57.0,80.0,57.0,67.0,82.0,75.0,90.0,87.0,65.0,69.0,49.0,42.0,54.0,32.0,57.0,72.0
George Hill,Indiana Pacers,73,58.0,78.0,75.0,75.0,70.0,60.0,79.0,25.0,45.0,33.0,61.0,38.0,42.0,90.0,48.0,75.0,42.0,42.0,78.0,73.0,70.0,70.0,76.0,76.0,52.0,88.0,92.0,74.0,79.0,78.0,86.0,76.0,77.0,63.0,35.0,47.0
James Johnson,Indiana Pacers,71,77.0,60.0,68.0,63.0,60.0,40.0,72.0,60.0,75.0,59.0,63.0,73.0,45.0,95.0,74.0,74.0,38.0,80.0,74.0,75.0,80.0,65.0,67.0,55.0,80.0,72.0,84.0,94.0,83.0,70.0,74.0,60.0,70.0,45.0,48.0,68.0
Kendall Brown,Indiana Pacers,69,70.0,68.0,73.0,69.0,80.0,40.0,67.0,57.0,80.0,39.0,38.0,40.0,34.0,80.0,59.0,68.0,55.0,52.0,68.0,65.0,65.0,60.0,74.0,74.0,44.0,84.0,85.0,81.0,80.0,70.0,71.0,67.0,69.0,50.0,39.0,47.0
Gabe York,Indiana Pacers,67,65.0,76.0,77.0,84.0,45.0,50.0,71.0,25.0,45.0,25.0,40.0,25.0,40.0,75.0,27.0,55.0,70.0,40.0,66.0,55.0,70.0,35.0,80.0,80.0,54.0,70.0,84.0,65.0,84.0,75.0,80.0,80.0,75.0,74.0,49.0,55.0
Kawhi Leonard,Los Angeles Clippers,94,97.0,88.0,85.0,88.0,95.0,95.0,90.0,55.0,80.0,65.0,88.0,89.0,66.0,98.0,79.0,96.0,80.0,53.0,96.0,95.0,90.0,95.0,84.0,84.0,79.0,79.0,87.0,85.0,82.0,79.0,86.0,83.0,78.0,69.0,44.0,68.0
Paul George,Los Angeles Clippers,89,95.0,82.0,81.0,88.0,90.0,95.0,89.0,55.0,85.0,40.0,70.0,75.0,55.0,80.0,79.0,92.0,74.0,47.0,91.0,88.0,80.0,85.0,79.0,79.0,70.0,88.0,95.0,75.0,93.0,78.0,87.0,79.0,75.0,72.0,37.0,68.0
Russell Westbrook,Los Angeles Clippers,81,79.0,72.0,73.0,66.0,65.0,85.0,82.0,30.0,80.0,45.0,66.0,66.0,50.0,85.0,42.0,74.0,53.0,52.0,81.0,70.0,55.0,70.0,96.0,96.0,75.0,92.0,92.0,85.0,92.0,82.0,86.0,95.0,84.0,85.0,48.0,68.0
Mason Plumlee,Los Angeles Clippers,80,87.0,60.0,58.0,63.0,75.0,65.0,81.0,85.0,80.0,75.0,70.0,70.0,74.0,81.0,74.0,46.0,38.0,58.0,48.0,77.0,68.0,75.0,57.0,41.0,73.0,75.0,78.0,92.0,83.0,75.0,37.0,50.0,72.0,65.0,79.0,86.0
Ivica Zubac,Los Angeles Clippers,80,98.0,74.0,26.0,71.0,80.0,85.0,79.0,80.0,75.0,81.0,54.0,84.0,75.0,82.0,77.0,34.0,32.0,80.0,45.0,75.0,40.0,45.0,26.0,25.0,75.0,75.0,80.0,90.0,80.0,70.0,35.0,26.0,47.0,30.0,84.0,87.0
Kenyon Martin Jr.,Los Angeles Clippers,79,93.0,68.0,74.0,68.0,95.0,90.0,84.0,75.0,93.0,44.0,44.0,44.0,75.0,75.0,54.0,67.0,36.0,51.0,70.0,62.0,54.0,50.0,83.0,83.0,62.0,90.0,80.0,60.0,81.0,64.0,76.0,69.0,64.0,36.0,55.0,66.0
Norman Powell,Los Angeles Clippers,79,90.0,78.0,85.0,78.0,85.0,80.0,85.0,25.0,80.0,30.0,32.0,28.0,78.0,88.0,50.0,79.0,46.0,51.0,78.0,77.0,74.0,75.0,79.0,83.0,46.0,80.0,92.0,90.0,82.0,74.0,79.0,77.0,75.0,42.0,33.0,53.0
Terance Mann,Los Angeles Clippers,77,79.0,82.0,82.0,78.0,95.0,75.0,78.0,45.0,75.0,47.0,50.0,50.0,72.0,75.0,54.0,66.0,38.0,51.0,73.0,62.0,59.0,50.0,71.0,70.0,50.0,79.0,85.0,90.0,80.0,79.0,79.0,70.0,83.0,65.0,48.0,55.0
Bones Hyland,Los Angeles Clippers,77,65.0,71.0,82.0,82.0,85.0,80.0,84.0,25.0,60.0,30.0,32.0,32.0,85.0,85.0,30.0,66.0,49.0,53.0,72.0,64.0,63.0,55.0,87.0,87.0,32.0,68.0,88.0,85.0,80.0,74.0,79.0,84.0,75.0,70.0,32.0,51.0
Robert Covington,Los Angeles Clippers,77,74.0,69.0,81.0,83.0,70.0,60.0,76.0,55.0,65.0,59.0,58.0,59.0,30.0,70.0,79.0,83.0,73.0,81.0,83.0,83.0,83.0,80.0,68.0,69.0,62.0,70.0,85.0,75.0,82.0,60.0,65.0,65.0,60.0,42.0,48.0,77.0
Marcus Morris Sr.,Los Angeles Clippers,76,94.0,79.0,81.0,78.0,65.0,60.0,70.0,55.0,70.0,68.0,67.0,67.0,64.0,84.0,64.0,68.0,40.0,51.0,75.0,70.0,61.0,60.0,73.0,47.0,75.0,69.0,94.0,80.0,86.0,60.0,60.0,49.0,44.0,37.0,33.0,61.0
Nicolas Batum,Los Angeles Clippers,74,88.0,77.0,83.0,68.0,60.0,55.0,74.0,55.0,60.0,40.0,63.0,62.0,35.0,80.0,66.0,73.0,43.0,65.0,75.0,68.0,50.0,60.0,68.0,64.0,65.0,82.0,88.0,80.0,83.0,70.0,71.0,68.0,73.0,37.0,47.0,66.0
Brandon Boston Jr.,Los Angeles Clippers,74,77.0,70.0,78.0,84.0,95.0,85.0,79.0,30.0,80.0,30.0,30.0,30.0,44.0,78.0,49.0,62.0,53.0,25.0,72.0,52.0,50.0,30.0,79.0,79.0,50.0,80.0,80.0,75.0,83.0,64.0,76.0,75.0,66.0,47.0,41.0,50.0
Amir Coffey,Los Angeles Clippers,72,78.0,69.0,70.0,80.0,70.0,50.0,84.0,25.0,40.0,38.0,53.0,54.0,69.0,81.0,47.0,64.0,32.0,37.0,69.0,68.0,64.0,50.0,75.0,75.0,52.0,75.0,80.0,70.0,79.0,72.0,75.0,75.0,74.0,44.0,40.0,41.0
Jason Preston,Los Angeles Clippers,71,71.0,70.0,75.0,62.0,60.0,70.0,70.0,40.0,45.0,58.0,57.0,57.0,33.0,80.0,40.0,64.0,35.0,25.0,73.0,65.0,68.0,55.0,82.0,82.0,52.0,75.0,85.0,85.0,80.0,84.0,75.0,80.0,84.0,77.0,34.0,70.0
Moussa Diabate,Los Angeles Clippers,69,65.0,68.0,67.0,61.0,50.0,40.0,67.0,65.0,80.0,50.0,50.0,51.0,35.0,68.0,65.0,41.0,43.0,72.0,56.0,65.0,50.0,55.0,73.0,73.0,60.0,78.0,80.0,75.0,80.0,42.0,40.0,66.0,52.0,27.0,84.0,51.0
Xavier Moon,Los Angeles Clippers,67,70.0,70.0,78.0,89.0,55.0,50.0,74.0,25.0,40.0,27.0,34.0,32.0,47.0,69.0,30.0,50.0,76.0,40.0,64.0,44.0,37.0,30.0,73.0,73.0,44.0,70.0,85.0,75.0,80.0,66.0,73.0,70.0,65.0,73.0,33.0,47.0
LeBron James,Los Angeles Lakers,96,94.0,85.0,73.0,76.0,98.0,98.0,98.0,80.0,95.0,82.0,90.0,89.0,96.0,98.0,82.0,85.0,69.0,76.0,86.0,90.0,97.0,70.0,87.0,87.0,89.0,89.0,99.0,93.0,97.0,90.0,87.0,85.0,97.0,82.0,69.0,82.0
Anthony Davis,Los Angeles Lakers,93,97.0,79.0,70.0,80.0,80.0,98.0,85.0,90.0,88.0,83.0,86.0,86.0,90.0,95.0,94.0,80.0,42.0,86.0,78.0,97.0,82.0,95.0,79.0,78.0,92.0,86.0,97.0,98.0,78.0,60.0,75.0,67.0,72.0,48.0,80.0,89.0
Christian Wood,Los Angeles Lakers,82,95.0,73.0,80.0,78.0,98.0,95.0,87.0,90.0,85.0,81.0,79.0,81.0,65.0,95.0,74.0,51.0,36.0,75.0,56.0,74.0,62.0,45.0,56.0,59.0,74.0,66.0,93.0,85.0,83.0,30.0,60.0,44.0,40.0,43.0,54.0,86.0
Austin Reaves,Los Angeles Lakers,82,94.0,95.0,83.0,85.0,90.0,90.0,82.0,25.0,70.0,31.0,32.0,32.0,95.0,85.0,35.0,73.0,36.0,51.0,73.0,73.0,70.0,65.0,83.0,83.0,44.0,81.0,85.0,80.0,80.0,70.0,73.0,78.0,74.0,53.0,35.0,47.0
D’Angelo Russell,Los Angeles Lakers,82,93.0,95.0,83.0,85.0,70.0,90.0,88.0,25.0,45.0,35.0,55.0,60.0,88.0,81.0,40.0,69.0,43.0,51.0,75.0,68.0,79.0,55.0,81.0,81.0,54.0,71.0,93.0,65.0,83.0,87.0,90.0,81.0,88.0,73.0,34.0,46.0
Rui Hachimura,Los Angeles Lakers,79,81.0,87.0,77.0,75.0,75.0,65.0,73.0,80.0,80.0,74.0,70.0,72.0,60.0,85.0,60.0,54.0,32.0,53.0,67.0,59.0,50.0,35.0,72.0,74.0,79.0,80.0,90.0,85.0,80.0,51.0,72.0,67.0,54.0,31.0,43.0,65.0
Jarred Vanderbilt,Los Angeles Lakers,79,85.0,69.0,72.0,69.0,85.0,80.0,75.0,75.0,75.0,40.0,32.0,50.0,50.0,85.0,80.0,80.0,66.0,50.0,77.0,82.0,88.0,80.0,75.0,76.0,70.0,80.0,75.0,95.0,78.0,60.0,65.0,65.0,38.0,56.0,71.0,85.0
Cam Reddish,Los Angeles Lakers,75,95.0,58.0,81.0,84.0,70.0,85.0,78.0,50.0,80.0,43.0,52.0,47.0,70.0,95.0,55.0,81.0,59.0,52.0,81.0,80.0,80.0,75.0,85.0,85.0,52.0,84.0,90.0,65.0,80.0,68.0,81.0,79.0,69.0,36.0,35.0,45.0
Gabe Vincent,Los Angeles Lakers,75,89.0,94.0,75.0,89.0,75.0,80.0,76.0,25.0,45.0,26.0,32.0,26.0,59.0,80.0,37.0,60.0,53.0,32.0,65.0,60.0,57.0,45.0,73.0,73.0,40.0,66.0,85.0,69.0,82.0,74.0,76.0,70.0,74.0,53.0,33.0,44.0
Jaxson Hayes,Los Angeles Lakers,75,95.0,68.0,60.0,70.0,75.0,70.0,71.0,85.0,80.0,68.0,54.0,65.0,52.0,90.0,78.0,48.0,46.0,70.0,64.0,79.0,45.0,65.0,58.0,60.0,72.0,75.0,80.0,95.0,80.0,29.0,38.0,41.0,40.0,34.0,60.0,68.0
Taurean Prince,Los Angeles Lakers,75,90.0,74.0,82.0,84.0,70.0,60.0,70.0,75.0,70.0,52.0,45.0,51.0,55.0,85.0,64.0,74.0,38.0,52.0,76.0,68.0,81.0,60.0,80.0,78.0,60.0,84.0,84.0,85.0,81.0,68.0,70.0,69.0,55.0,40.0,32.0,52.0
Wenyen Gabriel,Los Angeles Lakers,75,87.0,62.0,71.0,63.0,75.0,70.0,70.0,75.0,75.0,52.0,38.0,46.0,44.0,70.0,69.0,59.0,38.0,68.0,62.0,70.0,54.0,55.0,66.0,64.0,69.0,75.0,80.0,85.0,81.0,55.0,60.0,58.0,59.0,29.0,86.0,67.0
Tristan Thompson,Los Angeles Lakers,73,90.0,70.0,62.0,53.0,30.0,25.0,65.0,85.0,75.0,69.0,50.0,62.0,40.0,80.0,75.0,54.0,40.0,60.0,64.0,79.0,58.0,55.0,63.0,52.0,74.0,74.0,80.0,85.0,90.0,31.0,39.0,30.0,70.0,30.0,90.0,78.0
Max Christie,Los Angeles Lakers,71,70.0,76.0,86.0,82.0,60.0,45.0,70.0,35.0,80.0,39.0,42.0,42.0,41.0,90.0,44.0,63.0,35.0,51.0,70.0,60.0,57.0,50.0,87.0,87.0,55.0,82.0,98.0,80.0,80.0,68.0,70.0,78.0,66.0,29.0,32.0,61.0
Scotty Pippen Jr.,Los Angeles Lakers,68,73.0,74.0,73.0,75.0,70.0,50.0,73.0,25.0,65.0,25.0,36.0,31.0,62.0,72.0,31.0,62.0,41.0,55.0,70.0,54.0,55.0,50.0,82.0,82.0,39.0,79.0,82.0,75.0,80.0,70.0,76.0,82.0,70.0,66.0,36.0,61.0
Ja Morant,Memphis Grizzlies,92,93.0,84.0,77.0,79.0,90.0,98.0,97.0,25.0,97.0,54.0,54.0,54.0,95.0,98.0,49.0,72.0,67.0,45.0,83.0,79.0,78.0,75.0,95.0,95.0,52.0,97.0,97.0,98.0,80.0,96.0,96.0,95.0,95.0,92.0,44.0,63.0
Jaren Jackson Jr.,Memphis Grizzlies,86,95.0,89.0,79.0,78.0,85.0,95.0,82.0,85.0,80.0,85.0,83.0,85.0,60.0,80.0,95.0,71.0,49.0,98.0,76.0,94.0,71.0,95.0,63.0,65.0,72.0,75.0,90.0,80.0,94.0,45.0,60.0,33.0,50.0,29.0,56.0,70.0
Desmond Bane,Memphis Grizzlies,84,89.0,95.0,88.0,89.0,90.0,90.0,88.0,35.0,75.0,49.0,61.0,56.0,84.0,84.0,52.0,74.0,42.0,51.0,74.0,72.0,69.0,70.0,74.0,74.0,56.0,78.0,92.0,85.0,78.0,82.0,82.0,70.0,82.0,70.0,36.0,63.0
Marcus Smart,Memphis Grizzlies,82,87.0,66.0,78.0,76.0,45.0,50.0,74.0,25.0,50.0,25.0,58.0,78.0,27.0,70.0,74.0,96.0,80.0,47.0,96.0,90.0,92.0,95.0,75.0,82.0,73.0,83.0,89.0,90.0,83.0,75.0,74.0,74.0,75.0,73.0,37.0,45.0
Steven Adams,Memphis Grizzlies,80,91.0,65.0,26.0,37.0,60.0,65.0,69.0,70.0,70.0,79.0,62.0,82.0,49.0,79.0,82.0,55.0,43.0,80.0,63.0,85.0,79.0,80.0,48.0,37.0,81.0,68.0,88.0,90.0,82.0,69.0,35.0,33.0,68.0,42.0,97.0,83.0
Brandon Clarke,Memphis Grizzlies,78,95.0,80.0,57.0,72.0,60.0,30.0,65.0,80.0,84.0,63.0,62.0,62.0,64.0,80.0,78.0,75.0,42.0,70.0,78.0,78.0,72.0,75.0,82.0,83.0,64.0,82.0,90.0,95.0,80.0,59.0,69.0,65.0,62.0,37.0,66.0,78.0
Xavier Tillman,Memphis Grizzlies,78,89.0,63.0,57.0,56.0,80.0,80.0,76.0,75.0,65.0,70.0,70.0,70.0,46.0,95.0,78.0,66.0,73.0,62.0,67.0,80.0,84.0,75.0,46.0,44.0,72.0,69.0,82.0,94.0,80.0,62.0,61.0,37.0,68.0,43.0,76.0,69.0
Luke Kennard,Memphis Grizzlies,77,89.0,83.0,92.0,94.0,85.0,90.0,75.0,30.0,60.0,28.0,50.0,35.0,49.0,95.0,35.0,51.0,40.0,32.0,65.0,50.0,50.0,45.0,69.0,68.0,40.0,60.0,92.0,85.0,80.0,76.0,78.0,66.0,79.0,37.0,29.0,53.0
Santi Aldama,Memphis Grizzlies,77,85.0,74.0,78.0,74.0,90.0,80.0,66.0,70.0,65.0,69.0,69.0,69.0,55.0,85.0,65.0,54.0,40.0,67.0,54.0,74.0,59.0,45.0,44.0,44.0,70.0,59.0,80.0,80.0,79.0,60.0,42.0,40.0,50.0,34.0,52.0,69.0
Derrick Rose,Memphis Grizzlies,76,84.0,70.0,75.0,92.0,90.0,90.0,86.0,25.0,45.0,55.0,55.0,55.0,65.0,85.0,50.0,67.0,37.0,53.0,75.0,66.0,64.0,40.0,86.0,86.0,50.0,89.0,85.0,95.0,69.0,83.0,86.0,86.0,88.0,70.0,37.0,50.0
Josh Christopher,Memphis Grizzlies,75,93.0,76.0,70.0,78.0,85.0,85.0,80.0,40.0,85.0,25.0,62.0,44.0,65.0,83.0,49.0,67.0,53.0,58.0,78.0,60.0,65.0,50.0,84.0,84.0,55.0,81.0,88.0,72.0,80.0,68.0,75.0,78.0,62.0,51.0,37.0,45.0
David Roddy,Memphis Grizzlies,73,85.0,70.0,73.0,61.0,50.0,75.0,77.0,50.0,60.0,62.0,62.0,62.0,59.0,81.0,64.0,65.0,41.0,53.0,70.0,69.0,62.0,55.0,75.0,74.0,73.0,66.0,88.0,85.0,80.0,62.0,66.0,54.0,60.0,30.0,45.0,56.0
Jake LaRavia,Memphis Grizzlies,72,72.0,72.0,81.0,78.0,60.0,65.0,73.0,60.0,75.0,45.0,47.0,46.0,61.0,70.0,69.0,43.0,42.0,45.0,69.0,66.0,58.0,40.0,59.0,59.0,62.0,72.0,88.0,85.0,80.0,69.0,68.0,57.0,68.0,33.0,50.0,54.0
Kenneth Lofton Jr.,Memphis Grizzlies,72,83.0,74.0,70.0,67.0,60.0,50.0,74.0,55.0,75.0,70.0,68.0,70.0,50.0,80.0,57.0,38.0,41.0,50.0,57.0,57.0,52.0,50.0,64.0,64.0,82.0,70.0,85.0,90.0,80.0,60.0,62.0,58.0,64.0,66.0,77.0,73.0
John Konchar,Memphis Grizzlies,72,85.0,76.0,79.0,82.0,75.0,50.0,77.0,40.0,55.0,44.0,47.0,47.0,40.0,85.0,54.0,62.0,70.0,51.0,69.0,50.0,60.0,45.0,62.0,63.0,40.0,70.0,93.0,90.0,84.0,74.0,76.0,60.0,79.0,34.0,46.0,68.0
Ziaire Williams,Memphis Grizzlies,72,86.0,83.0,70.0,71.0,70.0,45.0,82.0,65.0,80.0,48.0,44.0,58.0,55.0,75.0,60.0,73.0,40.0,47.0,77.0,70.0,71.0,65.0,87.0,87.0,40.0,82.0,90.0,88.0,80.0,50.0,79.0,82.0,54.0,32.0,36.0,56.0
Isaiah Todd,Memphis Grizzlies,70,69.0,70.0,74.0,76.0,60.0,40.0,70.0,70.0,80.0,62.0,62.0,62.0,34.0,80.0,55.0,52.0,35.0,50.0,65.0,58.0,54.0,40.0,60.0,60.0,70.0,80.0,80.0,75.0,80.0,59.0,69.0,52.0,57.0,39.0,55.0,59.0
Vince Williams Jr.,Memphis Grizzlies,69,68.0,71.0,78.0,78.0,60.0,40.0,69.0,35.0,70.0,41.0,53.0,39.0,44.0,76.0,35.0,64.0,68.0,35.0,71.0,55.0,68.0,45.0,68.0,68.0,52.0,70.0,87.0,65.0,80.0,69.0,70.0,60.0,65.0,31.0,48.0,58.0
Jacob Gilyard,Memphis Grizzlies,69,60.0,72.0,80.0,87.0,50.0,45.0,67.0,25.0,25.0,28.0,28.0,25.0,37.0,78.0,30.0,55.0,79.0,35.0,80.0,49.0,58.0,45.0,89.0,89.0,32.0,80.0,85.0,80.0,80.0,84.0,86.0,89.0,82.0,84.0,32.0,37.0
Jimmy Butler,Miami Heat,95,97.0,80.0,76.0,85.0,90.0,95.0,92.0,40.0,80.0,80.0,80.0,80.0,98.0,98.0,75.0,90.0,90.0,51.0,92.0,92.0,96.0,95.0,84.0,83.0,76.0,78.0,97.0,95.0,81.0,84.0,86.0,82.0,88.0,73.0,65.0,60.0
Bam Adebayo,Miami Heat,87,94.0,88.0,69.0,80.0,60.0,60.0,81.0,85.0,80.0,80.0,80.0,81.0,70.0,90.0,93.0,83.0,49.0,65.0,73.0,92.0,80.0,90.0,74.0,74.0,85.0,83.0,92.0,90.0,90.0,72.0,69.0,66.0,74.0,63.0,63.0,84.0
Tyler Herro,Miami Heat,83,91.0,74.0,86.0,93.0,90.0,98.0,86.0,30.0,60.0,37.0,55.0,48.0,84.0,95.0,46.0,69.0,38.0,45.0,70.0,65.0,60.0,50.0,79.0,78.0,59.0,72.0,85.0,75.0,80.0,79.0,83.0,74.0,84.0,70.0,32.0,69.0
